bikes,year,month,day,hourfrom,dayofyear
0,2020,1,29,2,29
0,2020,1,29,3,29
5,2020,1,29,4,29
19,2020,1,29,5,29
74,2020,1,29,6,29
172,2020,1,29,7,29
189,2020,1,29,8,29
82,2020,1,29,9,29
49,2020,1,29,10,29
60,2020,1,29,11,29
91,2020,1,29,12,29
74,2020,1,29,13,29
48,2020,1,29,14,29
68,2020,1,29,15,29
108,2020,1,29,16,29
163,2020,1,29,17,29
114,2020,1,29,18,29
66,2020,1,29,19,29
41,2020,1,29,20,29
24,2020,1,29,21,29
26,2020,1,29,22,29
10,2020,1,29,23,29
3,2020,1,30,0,30
3,2020,1,30,1,30
2,2020,1,30,2,30
2,2020,1,30,3,30
5,2020,1,30,4,30
31,2020,1,30,5,30
85,2020,1,30,6,30
226,2020,1,30,7,30
204,2020,1,30,8,30
68,2020,1,30,9,30
48,2020,1,30,10,30
74,2020,1,30,11,30
85,2020,1,30,12,30
104,2020,1,30,13,30
92,2020,1,30,14,30
78,2020,1,30,15,30
128,2020,1,30,16,30
169,2020,1,30,17,30
132,2020,1,30,18,30
81,2020,1,30,19,30
58,2020,1,30,20,30
26,2020,1,30,21,30
39,2020,1,30,22,30
11,2020,1,30,23,30
3,2020,1,31,0,31
3,2020,1,31,1,31
1,2020,1,31,2,31
0,2020,1,31,3,31
9,2020,1,31,4,31
17,2020,1,31,5,31
70,2020,1,31,6,31
211,2020,1,31,7,31
190,2020,1,31,8,31
88,2020,1,31,9,31
62,2020,1,31,10,31
97,2020,1,31,11,31
83,2020,1,31,12,31
114,2020,1,31,13,31
92,2020,1,31,14,31
96,2020,1,31,15,31
135,2020,1,31,16,31
185,2020,1,31,17,31
129,2020,1,31,18,31
61,2020,1,31,19,31
42,2020,1,31,20,31
27,2020,1,31,21,31
27,2020,1,31,22,31
16,2020,1,31,23,31
10,2020,2,1,0,32
10,2020,2,1,1,32
19,2020,2,1,2,32
6,2020,2,1,3,32
9,2020,2,1,4,32
9,2020,2,1,5,32
18,2020,2,1,6,32
25,2020,2,1,7,32
35,2020,2,1,8,32
66,2020,2,1,9,32
58,2020,2,1,10,32
51,2020,2,1,11,32
51,2020,2,1,12,32
43,2020,2,1,13,32
56,2020,2,1,14,32
50,2020,2,1,15,32
40,2020,2,1,16,32
46,2020,2,1,17,32
39,2020,2,1,18,32
20,2020,2,1,19,32
16,2020,2,1,20,32
10,2020,2,1,21,32
15,2020,2,1,22,32
11,2020,2,1,23,32
5,2020,2,2,0,33
4,2020,2,2,1,33
5,2020,2,2,2,33
12,2020,2,2,3,33
4,2020,2,2,4,33
9,2020,2,2,5,33
11,2020,2,2,6,33
12,2020,2,2,7,33
7,2020,2,2,8,33
20,2020,2,2,9,33
17,2020,2,2,10,33
26,2020,2,2,11,33
17,2020,2,2,12,33
37,2020,2,2,13,33
25,2020,2,2,14,33
31,2020,2,2,15,33
27,2020,2,2,16,33
49,2020,2,2,17,33
231,2020,2,2,18,33
29,2020,2,2,19,33
26,2020,2,2,20,33
18,2020,2,2,21,33
9,2020,2,2,22,33
6,2020,2,2,23,33
0,2020,2,3,0,34
1,2020,2,3,1,34
0,2020,2,3,2,34
0,2020,2,3,3,34
9,2020,2,3,4,34
17,2020,2,3,5,34
87,2020,2,3,6,34
204,2020,2,3,7,34
194,2020,2,3,8,34
73,2020,2,3,9,34
55,2020,2,3,10,34
63,2020,2,3,11,34
77,2020,2,3,12,34
86,2020,2,3,13,34
63,2020,2,3,14,34
66,2020,2,3,15,34
142,2020,2,3,16,34
140,2020,2,3,17,34
126,2020,2,3,18,34
77,2020,2,3,19,34
29,2020,2,3,20,34
25,2020,2,3,21,34
22,2020,2,3,22,34
7,2020,2,3,23,34
3,2020,2,4,0,35
4,2020,2,4,1,35
1,2020,2,4,2,35
1,2020,2,4,3,35
