day,category,passengers,flights
2022-09-05,Andere Kategorien,10,31
2022-09-04,Fracht Express,0,
2022-09-04,Andere Kategorien,10,93
2022-09-03,Fracht Cargo,0,4
2022-09-03,Andere Kategorien,3,74
2022-08-30,Fracht Express,0,18
2022-08-30,Fracht Cargo,0,
2022-08-30,Andere Kategorien,21,62
2022-08-29,Andere Kategorien,13,11
2022-08-28,Fracht Express,0,
2022-08-27,Andere Kategorien,18,83
2022-08-26,Passagierverkehr,23932,213
2022-08-24,Passagierverkehr,21842,204
2022-08-24,Fracht Cargo,0,5
2022-08-24,Andere Kategorien,11,67
2022-08-23,Passagierverkehr,23761,201
2022-08-23,Fracht Express,0,18
2022-08-23,Fracht Cargo,0,1
2022-08-21,Fracht Cargo,0,
2022-08-19,Fracht Cargo,0,2
2022-08-18,Andere Kategorien,11,34
2022-08-17,Andere Kategorien,11,39
2022-08-16,Andere Kategorien,20,60
2022-08-15,Passagierverkehr,25369,215
2022-08-15,Andere Kategorien,7,45
2022-08-14,Fracht Express,0,
2022-08-14,Fracht Cargo,0,
2022-08-13,Passagierverkehr,29581,226
2022-08-12,Andere Kategorien,8,40
2022-08-11,Fracht Cargo,0,
2022-08-11,Andere Kategorien,12,52
2022-08-10,Passagierverkehr,25198,221
2022-08-10,Andere Kategorien,0,51
2022-08-09,Andere Kategorien,14,41
2022-08-08,Passagierverkehr,26360,221
2022-08-08,Fracht Cargo,0,2
2022-08-07,Fracht Cargo,0,
2022-08-05,Fracht Express,0,11
2022-08-04,Passagierverkehr,28735,216
2022-08-04,Fracht Express,0,18
2022-08-03,Fracht Express,0,18
2022-08-02,Fracht Express,0,16
2022-08-01,Fracht Cargo,0,
2022-08-01,Andere Kategorien,19,35
2022-07-31,Andere Kategorien,3,39
2022-07-30,Fracht Express,0,2
2022-07-29,Passagierverkehr,26752,203
2022-07-29,Andere Kategorien,2,55
2022-07-28,Fracht Express,0,18
2022-07-27,Fracht Cargo,0,4
2022-07-27,Andere Kategorien,17,85
2022-07-26,Passagierverkehr,25961,208
2022-07-26,Fracht Express,0,19
2022-07-25,Passagierverkehr,25729,200
2022-07-25,Fracht Express,0,15
2022-07-25,Fracht Cargo,0,2
2022-07-24,Passagierverkehr,29505,215
2022-07-24,Fracht Express,0,
2022-11-24,Passagierverkehr,12586,98
2022-11-23,Andere Kategorien,0,81
2022-11-22,Fracht Cargo,0,17
2022-11-22,Andere Kategorien,0,39
2022-11-21,Passagierverkehr,13687,132
2022-11-20,Andere Kategorien,8,31
2022-11-19,Passagierverkehr,14829,121
2022-11-19,Fracht Express,0,2
2022-11-19,Andere Kategorien,3,85
2022-11-18,Fracht Cargo,0,2
2022-11-17,Passagierverkehr,13098,122
2022-11-17,Fracht Express,0,20
2022-11-16,Passagierverkehr,10281,105
2022-11-16,Fracht Express,0,16
2022-11-12,Passagierverkehr,14857,119
2022-11-12,Fracht Express,0,2
2022-11-11,Fracht Cargo,0,2
2022-11-11,Andere Kategorien,15,91
2022-11-10,Passagierverkehr,15161,132
2022-11-10,Andere Kategorien,0,56
2022-11-09,Passagierverkehr,12175,121
2022-11-09,Fracht Express,0,20
2022-11-09,Fracht Cargo,0,6
2022-11-08,Passagierverkehr,12586,119
2022-11-07,Fracht Cargo,0,2
2022-11-06,Fracht Cargo,0,
2022-11-04,Passagierverkehr,19299,147
2022-11-04,Fracht Cargo,0,2
2022-11-03,Passagierverkehr,19423,160
2022-11-01,Fracht Express,0,18
2022-10-30,Passagierverkehr,24083,184
2022-10-29,Fracht Cargo,0,2
2022-10-28,Passagierverkehr,24035,189
2022-10-27,Fracht Express,0,18
2022-10-26,Fracht Cargo,0,6
2022-10-26,Andere Kategorien,14,100
2022-10-25,Fracht Cargo,0,
2022-10-25,Andere Kategorien,0,59
2022-10-24,Andere Kategorien,0,1
2022-10-23,Passagierverkehr,26561,195
2022-10-23,Fracht Express,0,
2022-10-23,Fracht Cargo,0,
2022-10-23,Andere Kategorien,2,59
2022-10-22,Andere Kategorien,4,64
2022-10-21,Fracht Cargo,0,2
2022-10-20,Fracht Cargo,0,
2022-10-19,Andere Kategorien,7,48
2022-10-18,Passagierverkehr,20609,180
2022-10-18,Fracht Express,0,18
2022-10-17,Passagierverkehr,22807,193
2022-10-16,Passagierverkehr,28812,227
2022-10-15,Fracht Cargo,0,4
2022-10-15,Andere Kategorien,2,93
2022-10-14,Passagierverkehr,24554,196
2022-10-14,Fracht Express,0,11
2022-10-13,Fracht Express,0,18
2022-10-12,Passagierverkehr,21928,196
2022-10-12,Fracht Express,0,18
2022-10-11,Fracht Express,0,18
2022-10-10,Passagierverkehr,24260,196
2022-10-10,Andere Kategorien,6,57
2022-10-09,Fracht Express,0,
2022-10-08,Passagierverkehr,27786,214
2022-10-08,Andere Kategorien,16,42
2022-10-07,Andere Kategorien,16,57
2022-10-06,Passagierverkehr,24458,198
2022-10-06,Andere Kategorien,4,31
2022-10-05,Passagierverkehr,20705,177
2022-10-05,Fracht Express,0,18
2022-10-05,Andere Kategorien,19,83
2022-10-04,Andere Kategorien,19,82
2022-10-03,Passagierverkehr,24507,185
2022-10-03,Fracht Express,0,15
2022-10-03,Andere Kategorien,2,44
2022-10-02,Fracht Express,0,
2022-10-02,Fracht Cargo,0,
2022-10-01,Fracht Express,0,2
2022-10-01,Andere Kategorien,30,49
2022-09-30,Andere Kategorien,16,34
2022-09-28,Fracht Cargo,0,4
2022-09-27,Andere Kategorien,0,7
2022-09-26,Passagierverkehr,22276,181
2022-09-26,Fracht Cargo,0,2
2022-09-26,Andere Kategorien,3,21
2022-09-25,Passagierverkehr,26462,208
2022-09-24,Fracht Cargo,0,6
2022-09-24,Andere Kategorien,12,6
2022-09-22,Passagierverkehr,24035,195
2022-09-22,Fracht Express,0,18
2022-09-22,Andere Kategorien,7,45
2022-09-21,Passagierverkehr,20345,176
2022-09-21,Fracht Cargo,0,4
2022-09-21,Andere Kategorien,7,63
2022-09-18,Passagierverkehr,26315,205
2022-09-18,Fracht Cargo,0,
2022-09-17,Passagierverkehr,26508,192
2022-09-16,Fracht Cargo,0,
2022-09-15,Passagierverkehr,24795,203
2022-09-15,Fracht Express,0,18
2022-09-15,Fracht Cargo,0,
2022-09-11,Fracht Express,0,
2022-09-10,Passagierverkehr,26906,194
2022-09-10,Fracht Cargo,0,4
2022-09-07,Fracht Express,0,18
2022-09-07,Fracht Cargo,0,4
2022-09-07,Andere Kategorien,7,75
2022-09-06,Fracht Express,0,18
2022-09-05,Fracht Cargo,0,2
2022-09-04,Passagierverkehr,25709,202
2022-09-03,Passagierverkehr,26486,204
2022-09-03,Fracht Express,0,2
2022-09-02,Passagierverkehr,24203,191
2022-09-02,Fracht Express,0,11
2022-09-02,Fracht Cargo,0,2
2022-09-02,Andere Kategorien,10,121
2022-09-01,Passagierverkehr,25268,197
2022-09-01,Fracht Express,0,18
2022-09-01,Fracht Cargo,0,
2022-09-01,Andere Kategorien,12,62
2022-08-31,Fracht Express,0,18
2022-08-31,Fracht Cargo,0,4
2022-08-31,Andere Kategorien,17,62
2022-08-30,Passagierverkehr,23389,218
2022-08-28,Passagierverkehr,26266,212
2022-08-28,Fracht Cargo,0,
2022-08-27,Passagierverkehr,26955,229
2022-08-25,Fracht Express,0,18
2022-08-25,Andere Kategorien,8,51
2022-08-24,Fracht Express,0,18
2022-08-23,Andere Kategorien,17,42
2022-08-22,Fracht Cargo,0,2
2022-08-22,Andere Kategorien,12,48
2022-08-21,Andere Kategorien,4,38
2022-08-20,Fracht Express,0,2
2022-08-20,Fracht Cargo,0,4
2022-08-17,Fracht Cargo,0,4
2022-08-16,Passagierverkehr,26972,225
2022-08-16,Fracht Express,0,18
2022-08-14,Andere Kategorien,7,33
2022-08-13,Fracht Express,0,2
2022-08-13,Fracht Cargo,0,4
2022-08-12,Fracht Cargo,0,4
2022-08-11,Passagierverkehr,28785,208
2022-08-11,Fracht Express,0,18
2022-08-10,Fracht Cargo,0,4
2022-08-09,Fracht Cargo,0,
2022-08-08,Fracht Express,0,15
2022-08-08,Andere Kategorien,6,38
2022-08-07,Fracht Express,0,
2022-08-06,Passagierverkehr,30147,220
2022-08-06,Fracht Express,0,2
2022-08-06,Fracht Cargo,0,4
2022-08-06,Andere Kategorien,8,49
2022-08-05,Passagierverkehr,26811,210
2022-08-05,Fracht Cargo,0,2
2022-08-05,Andere Kategorien,7,49
2022-08-04,Fracht Cargo,0,
2022-08-04,Andere Kategorien,7,46
2022-08-02,Passagierverkehr,28489,196
2022-08-02,Fracht Cargo,0,
2022-08-01,Passagierverkehr,27022,192
2022-08-01,Fracht Express,0,11
2022-07-31,Fracht Cargo,0,
2022-07-30,Passagierverkehr,28889,201
2022-07-30,Fracht Cargo,0,4
2022-07-30,Andere Kategorien,10,63
2022-07-29,Fracht Express,0,13
2022-07-29,Fracht Cargo,0,2
2022-07-28,Passagierverkehr,29015,207
2022-07-27,Fracht Express,0,19
2022-07-26,Fracht Cargo,0,
2022-07-25,Andere Kategorien,6,68
2022-07-24,Fracht Cargo,0,
2022-07-24,Andere Kategorien,0,39
2022-07-23,Fracht Express,0,2
2022-07-23,Fracht Cargo,0,4
2022-07-22,Fracht Express,0,11
2022-07-21,Fracht Cargo,0,
2022-07-21,Andere Kategorien,20,32
2022-07-20,Fracht Express,0,18
2022-07-20,Fracht Cargo,0,4
2022-07-20,Andere Kategorien,17,48
2022-07-19,Passagierverkehr,24109,196
